id;nombre_evento;fecha_hora;capacidad_adulto;capacidad_menor
1;Amarillo Algodón Coordinador;2023-08-06T10:35:02;9242;32321
2;Laura Acero;2023-08-06T18:53:46;29582;3746
3;Jamaica;2023-08-06T12:56:20;23866;22820
4;de Gris Operaciones;2023-08-06T07:31:21;6367;23411
5;Nacional Argentina;2023-08-06T09:06:52;782;19712
6;Senior Violeta Raton;2023-08-06T17:56:26;16328;25389
7;Marca Hormigon;2023-08-06T12:19:05;9282;16422
8;Negro radical;2023-08-06T12:18:03;24833;28368
9;ejecutiva óptima Funcionario;2023-08-06T10:47:56;14380;2952
10;Patatas Cantabria Inteligente;2023-08-06T20:14:06;21668;30096
