id;fecha_reserva;fecha_inicio;fecha_final;total_reservacion
1;2023-08-06T15:18:23;2023-08-06T19:46:46;2023-08-07T00:34:40;18924
2;2023-08-06T19:44:05;2023-08-06T23:19:50;2023-08-06T08:59:54;1469
3;2023-08-06T23:17:25;2023-08-06T20:33:14;2023-08-07T01:30:57;19786
4;2023-08-06T13:54:03;2023-08-06T20:03:36;2023-08-06T12:52:18;27805
5;2023-08-06T17:35:37;2023-08-06T19:16:22;2023-08-06T21:55:53;2559
6;2023-08-06T22:09:48;2023-08-06T09:10:28;2023-08-07T01:28:57;24445
7;2023-08-06T18:19:47;2023-08-06T16:50:52;2023-08-06T15:40:29;6752
8;2023-08-06T13:54:31;2023-08-07T04:07:45;2023-08-06T10:17:29;32085
9;2023-08-06T15:49:41;2023-08-07T02:50:15;2023-08-06T16:19:41;10681
10;2023-08-06T16:38:40;2023-08-06T09:14:01;2023-08-06T23:52:04;28377
